title,picture,url,media,press,campaign
L’Oreal: No More Cancer Chemicals in Cosmetics,https://www.welevelup.org/wp-content/uploads/2023/04/Screenshot-2023-04-27-at-11.32.36.png,https://www.bcpp.org/resource/loreal-no-cancer-chemicals-cosmetics/,bcpp.org,Yes,TOXIC CHEMICALS IN HAIR RELAXERS
Hair relaxer use may affect ability to conceive,https://www.welevelup.org/wp-content/uploads/2023/04/Screenshot-2023-04-27-at-11.33.45.png,https://medicalxpress.com/news/2023-04-hair-affect-ability.html,medicalxpress.com,Yes,TOXIC CHEMICALS IN HAIR RELAXERS
Feminist Community Calls for L’Oréal to Remove Toxic Ingredients from Hair Relaxers,https://www.welevelup.org/wp-content/uploads/2023/06/Screenshot-2023-06-02-at-12.20.32.png,https://newyork.legalexaminer.com/legal/feminist-community-calls-for-loreal-to-remove-toxic-ingredients-from-hair-relaxers/,newyork.legalexaminer.com/,Yes,TOXIC CHEMICALS IN HAIR RELAXERS
Feminist Community Calls for L’Oréal to Remove Toxic Ingredients from Hair Relaxers,https://www.welevelup.org/wp-content/uploads/2023/06/Screenshot-2023-06-02-at-12.20.32.png,https://newyork.legalexaminer.com/legal/feminist-community-calls-for-loreal-to-remove-toxic-ingredients-from-hair-relaxers/,newyork.legalexaminer.com/,Yes,TOXIC CHEMICALS IN HAIR RELAXERS
Revlon Faces Hair Relaxer Cancer Claims as Bankruptcy Nears End,https://www.welevelup.org/wp-content/uploads/2023/04/Screenshot-2023-04-25-at-14.26.06.png,https://www.businessoffashion.com/news/beauty/revlon-faces-hair-relaxer-cancer-claims-as-bankruptcy-nears-end/,businessoffashion.com,Yes,TOXIC CHEMICALS IN HAIR RELAXERS
Status of Hair Relaxer Lawsuits Discussed at MDL Conference,https://www.welevelup.org/wp-content/uploads/2023/04/Screenshot-2023-04-25-at-14.27.42.png,https://www.aboutlawsuits.com/hair-relaxer-lawsuits-status-conference/,aboutlawsuits.com,Yes,TOXIC CHEMICALS IN HAIR RELAXERS
L’Oréal Urged to Withdraw Hair Relaxers After Studies Find Cancer Risk,https://www.welevelup.org/wp-content/uploads/2023/04/Screenshot-2023-04-25-at-14.29.03.png,https://www.businessoffashion.com/news/beauty/loreal-urged-to-withdraw-hair-relaxers-after-studies-find-cancer-risk/,businesstelegraph.co.uk,Yes,TOXIC CHEMICALS IN HAIR RELAXERS
"Piden a L’Oreal retirar productos para el cabello que, al parecer, causarían cáncer",https://www.welevelup.org/wp-content/uploads/2023/04/Screenshot-2023-04-25-at-14.36.46.png,https://www.elespectador.com/salud/piden-a-loreal-retirar-productos-para-el-cabello-que-al-parecer-causarian-cancer/,elespectador.com,Yes,TOXIC CHEMICALS IN HAIR RELAXERS
L’Oréal urged to withdraw hair relaxers after studies find cancer risk,https://www.welevelup.org/wp-content/uploads/2023/04/Screenshot-2023-04-25-at-14.11.59.png,https://www.theguardian.com/society/2023/apr/21/loreal-urged-to-withdraw-hair-relaxers-after-studies-find-cancer-risk,theguardian.com,Yes,TOXIC CHEMICALS IN HAIR RELAXERS
L’Oréal urged to withdraw hair relaxers after studies find cancer risk,https://www.welevelup.org/wp-content/uploads/2023/04/Screenshot-2023-04-25-at-14.11.59.png,https://www.theguardian.com/society/2023/apr/21/loreal-urged-to-withdraw-hair-relaxers-after-studies-find-cancer-risk,theguardian.com,Yes,TOXIC CHEMICALS IN HAIR RELAXERS
Campaigners urge L’Oreal to stop selling hair relaxers after studies find cancer link,https://www.welevelup.org/wp-content/uploads/2023/04/Screenshot-2023-04-25-at-14.19.20.png,https://www.standard.co.uk/news/world/loreal-hair-relaxers-cancer-risk-study-open-letter-b1075881.html,standard.co.uk/,Yes,TOXIC CHEMICALS IN HAIR RELAXERS
